xi,k,w,rps,logloss,brier,acierto,n
0.004,16.0,0.25,0.201659,0.994005,0.591709,0.521632,2843
0.004,16.0,0.5,0.202472,0.99635,0.593525,0.518466,2843
0.004,16.0,0.75,0.203998,1.000917,0.596877,0.514246,2843
0.004,16.0,1.0,0.206271,1.008025,0.601855,0.505804,2843
0.004,24.0,0.0,0.202848,0.997624,0.59407,0.523391,2843
0.004,24.0,0.25,0.202948,0.997832,0.594333,0.517059,2843
0.004,24.0,0.5,0.203629,0.999742,0.595838,0.514949,2843
0.004,24.0,0.75,0.204926,1.003549,0.598665,0.508618,2843
0.004,24.0,1.0,0.206869,1.009513,0.602893,0.50299,2843
0.006,0.0,0.0,0.200687,0.991859,0.59008,0.524094,2843
0.006,0.0,0.25,0.201087,0.99334,0.591173,0.522336,2843
0.006,0.0,0.5,0.202947,0.999624,0.595445,0.513894,2843
0.006,0.0,0.75,0.206328,1.01146,0.603065,0.502638,2843
0.006,0.0,1.0,0.211236,1.029578,0.614119,0.498769,2843
0.006,2.0,0.0,0.200426,0.990468,0.589446,0.524094,2843
0.006,2.0,0.25,0.200759,0.991645,0.590363,0.520929,2843
0.006,2.0,0.5,0.202408,0.997009,0.594135,0.513894,2843
0.006,2.0,0.75,0.205435,1.00713,0.600921,0.501935,2843
0.006,2.0,1.0,0.209873,1.022749,0.610851,0.501583,2843
0.006,4.0,0.0,0.200445,0.990448,0.589438,0.522336,2843
0.006,4.0,0.25,0.200746,0.991473,0.590263,0.520225,2843
0.006,4.0,0.5,0.202266,0.996327,0.593728,0.514246,2843
0.006,4.0,0.75,0.205066,1.005516,0.599985,0.504045,2843
0.006,4.0,1.0,0.209188,1.019784,0.609173,0.501583,2843
0.006,6.0,0.0,0.20059,0.990906,0.589711,0.520225,2843
0.006,6.0,0.25,0.200873,0.991838,0.590478,0.520577,2843
0.006,6.0,0.5,0.202303,0.996347,0.593727,0.514949,2843
0.006,6.0,0.75,0.204939,1.004902,0.599602,0.504749,2843
0.006,6.0,1.0,0.208826,1.018203,0.608244,0.501583,2843
0.006,8.0,0.0,0.200796,0.991561,0.590118,0.520225,2843
0.006,8.0,0.25,0.201066,0.992426,0.590844,0.522687,2843
